ISBN;Наименование ;Автограф;Заказ;Серия;Авторы;Издательство;Год;Упак.;Стр.;Код;Код ЕАН;Цена;Номенклатура ставка НДС;Переплет;Формат книги;Вес;Тип издания;Категория;Аннотация;Печ ссылка
978-5-4335-0831-6;Десять вечеров. Японские народные сказки (автограф);;;Нигма. Избранное;Пер. с яп. В.Н. Марковой;НИГМА;2024;1;416;NF0028457  ;9785433508316;2300;10;Переплет;70 х 100 (1/16);1,03;;12+;"Японские сказки отличаются самобытностью и тонким чувством прекрасного. Оригинальность сюжета, поэтичность и утончённость образов позволяют читателю глубже понять древнюю культуру и обычаи Страны восходящего солнца и отражают неизменную любовь японцев к природе. Цветение сакуры, красная листва клёнов, первый снег — не просто фон для повествования, но почти что самостоятельные персонажи. 
Перед вами большой сборник японских сказок, включающий в себя волшебные сказки, сказки о животных, сказки-притчи, смешные сказки, где главные герои — плуты и хитрецы, и множество других замечательных историй. Вечер за вечером юные читатели будут знакомиться с персонажами японского фольклора: лукавыми лешими тэнгу и водяными каппа; прекрасными девами-птицами и женщинами-змеями; лисицами-оборотнями и проказливыми барсуками; весельчаком и шутником Хикоити.
Герои сказок оживают на волшебных иллюстрациях художницы Анны Хопта.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0028457,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1000-5;Десять вкусненьких учителей;;;вне серии;"Монтгомери Р.; Пер. с англ. Е. Перловой";НИГМА;2022;19;32;NF0022150  ;9785433510005;450;10;Переплет;60 х 90 (1/8);0,41;;0+;"Десять усталых и очень наивных учителей опоздали на последний автобус домой. Но есть короткий путь через Тёмный лес — можно успеть к вечернему чаю! Они ещё не подозревают, что лес населён целой ордой опасных и очень голодных монстров.
Озорная и остроумная сказка-считалка для тех, кто не боится монстров и умеет считать до десяти!";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022150,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0178-2;Дети капитана Гранта;;;Страна приключений;"Верн Ж.; Пер. с фр. А. Бекетовой";НИГМА;2024;3;512;NF0028807  ;9785433501782;1500;10;Переплет;84 х 108 (1/16);1,7;;12+;"«Дети капитана Гранта» — один из самых известных романов Жюля Верна, где увлекательные приключения умело переплетаются со множеством интересных географических и исторических фактов.
Однажды экипаж яхты «Дункан» обнаруживает в животе пойманной акулы записку капитана Гранта, потерпевшего кораблекрушение. Владельцы яхты Лорд Гленарван и его супруга решают организовать спасательную экспедицию. Героев романа ждёт захватывающее путешествие по тридцать седьмой параллели, неведомые страны и новые открытия.
Книга проиллюстрирована известным русским художником Анатолием Зиновьевичем Иткиным, мастером историко-приключенческого жанра, создавшим иллюстрации более чем к двумстам произведениям русской и зарубежной классики.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0028807,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0733-3;Джоанна в поезде;;;вне серии;"Шерер К.; Пер. с нем. Д.А. Налепиной";НИГМА;2019;18;38;NF0014274  ;9785433507333;450;10;Переплет;60 х 100 (1/8) ;0,355;;0+;Художница рисует длинный-длинный поезд, в котором едет много разных зверей, и среди них — любопытная маленькая свинка по имени Джоанна. В этом необычном путешествии Джоанна спорит с Художницей, всему удивляется и хочет найти себе друга… ;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0014274,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1052-4;Дмитрий Донской;;;Красный каптал;"Бородин С.П.; Эрлихман В.В. (предисловие)";НИГМА;2024;5;432;NF0027708  ;9785433510524;700;10;Переплет;70 х 90 (1/16);0,8;;12+;"Один из лучших исторических романов Сергея Петровича Бородина посвящён борьбе Руси за освобождение от ордынского ига. Впервые он был опубликован в январе 1941 года. Писатель вспоминал: «Мир XIV века стал перед моими глазами, и уже можно было писать о нём как о реальной действительности. Но вместе с тем я не забывал, что коричневая орда сжигает и топчет города Европы и что нашему читателю следует напомнить, какой ценой отстояли мы родину от таких же орд много веков назад». Работая над романом, Бородин проштудировал огромное количество древних документов, посещал музеи и ездил по местам исторических событий, что позволило ему создать широкую и достоверную картину русской жизни XIV века.
Русь, славная своими бескрайними просторами и природными богатствами, страдает от многолетних поборов и набегов татар, а князья враждуют между собой. Именно в это тяжёлое и тревожное время во главе Руси становится молодой московский князь Дмитрий Иванович. По его призыву собираются воинские отряды, городское и крестьянское ополчение — весь народ поднимается на борьбу с врагом. Читатель познакомится с ближайшим сподвижником великого князя Михаилом Бренком и игуменом земли Русской Сергием Радонежским, воеводой Боброком и зодчим Кириллом, легендарными иноками-воинами Пересветом и Ослябей и многими другими доблестными мужами; станет свидетелем разгрома ордынцев на реке Воже и исторической битвы объединённого русского войска на Куликовом поле.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0027708,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0922-1;Доктор Скрипка;;;вне серии;Лазаренская М.В.;НИГМА;2022;20;32;NF0022153  ;9785433509221;450;10;Переплет;60 х 90 (1/8);0,405;;0+;"Доктор Август Скрипка — ветеринар, а это значит, что каждый день у него на работе случается что-то необычное! То хомяк чихает, то кот-рыболов в банке застрянет, то коза оказывается поросёнком… А сегодня доктор нашёл на пороге кабинета загадочную коробку с необычным гостем — ящеркой в рыжую крапинку по имени Токи. Доктор Скрипка и его посетители будут искать и ловить юркого Токи, пытаясь разгадать загадку: откуда же он всё-таки взялся… и кто он?
Книга дополнена забавными иллюстрациями художницы Оксаны Шульги.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022153,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0923-8;Доктор Улитка;;3;вне серии;Вербицкая О.;НИГМА;2022;20;32;NF0021322  ;9785433509238;450;10;Переплет;60 х 90 (1/8);0,4;;0+;Доктора Улитку знает каждый лесной житель! Она и занозу из носа у волка вытащила, и ёжику все больные иголки вылечила, а теперь спешит-ползёт к медведю — у бедняги сильный жар… До берлоги путь небыстрый — с пригорка на горку, с листочка на кочку, — но чудесный доктор обязательно доберётся и поможет мохнатому пациенту!;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0021322,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0708-1;Дом для Гарри;;;вне серии;"Тиммерс Л.; Пер. с нидер. А. Поляковой";НИГМА;2019;22;48;NF0012801 ;9785433507081;300;10;Переплет;70 х 100 (1/16);0,3;;0+;Кот Гарри всё своё время проводил дома. Но однажды бабочка Вера предложила ему поиграть в салочки. А вдруг это весело? Но Вера так быстро летала, что Гарри не смог её догнать и… потерялся. Как же ему теперь найти свой дом? ;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0012801,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0299-4;Дом с волшебными окнами;;;вне серии;Эмден Э.М.;НИГМА;2023;13;108;NF0026480  ;9785433502994;700;10;Переплет;60 х 90 (1/8);0,725;;6+;"Перед тобой очаровательная новогодняя сказка, которая поможет тебе поверить в чудо. Однажды, в новогодний вечер откроется  дверь комнаты, и вместе с морозным облаком войдёт бабушка Кукла и позовёт тебя в дом с волшебными окнами. 
Вместе с юными героями Таней и Серёжей ты узнаешь о стране, о которой даже не догадывался. В волшебном зимнем лесу ты встретишь удивительные деревья-великаны, познакомишься с добрым, но немножко ворчливым Морозко и попадёшь в дом медведя Михайло Иваныча, который смастерит лучшие лыжи. Преодолев множество испытаний, ты окажешься в необычной стране Игралочке, где «старые друзья» подскажут, как победить главного врага — Оловянного Генерала, стерегущего заколдованную дорогу к дому с самыми волшебными и родными окнами.
Такие же чудесные, как и сама сказка, иллюстрации Марии Спеховой переносят читателей в новогоднюю историю, полную необычайных сюрпризов и радостных впечатлений.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0026480,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0883-5;Домовой у лавочника ;;;Художники рисуют Андерсена;"Андерсен Г.Х.; Пер. с дат. И.А. Разумовской, С.П. Самостреловой";НИГМА;2023;20;32;NF0026399  ;9785433508835;600;10;Переплет;60 х 90 (1/6);0,48;;;"Домовой обитает в доме у лавочника. Тот угощает его кашей с маслом каждый сочельник — чего ещё можно желать для счастья? Но вот однажды в лавку приходит бедный студент и вместо еды покупает… старую книжонку стихов. Чем же стихи лучше, чем свежий кусок сыра? И что значит — разбираться в поэзии? Любопытный домовой хочет понять, и его ожидают чудесные открытия…
Книга проиллюстрирована красочными работами Ольги Миннибаевой.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0026399,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0883-5;Домовой у лавочника;;;Художники рисуют Андерсена;"Андерсен Г.Х.; Пер. с дат. И.А. Разумовской, С.П. Самостреловой";НИГМА;2024;20;32;NF0029011;9785433508835;600;10;Переплет;60 х 90 (1/6);0,48;;6+;"Домовой обитает в доме у лавочника. Тот угощает его кашей с маслом каждый сочельник — чего ещё можно желать для счастья? Но вот однажды в лавку приходит бедный студент и вместо еды покупает… старую книжонку стихов. Чем же стихи лучше, чем свежий кусок сыра? И что значит — разбираться в поэзии? Любопытный домовой хочет понять, и его ожидают чудесные открытия…
Книга проиллюстрирована красочными работами Ольги Миннибаевой.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0029011,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0883-5;Домовой у лавочника (автограф);;;Художники рисуют Андерсена;"Андерсен Г.Х.; Пер. с дат. И.А. Разумовской, С.П. Самостреловой";НИГМА;2024;20;32;NF0029166;9785433508835;600;10;Переплет;60 х 90 (1/6);0,48;;6+;"Домовой обитает в доме у лавочника. Тот угощает его кашей с маслом каждый сочельник — чего ещё можно желать для счастья? Но вот однажды в лавку приходит бедный студент и вместо еды покупает… старую книжонку стихов. Чем же стихи лучше, чем свежий кусок сыра? И что значит — разбираться в поэзии? Любопытный домовой хочет понять, и его ожидают чудесные открытия…
Книга проиллюстрирована красочными работами Ольги Миннибаевой.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0029166,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0763-0;Дочь Монтесумы;;;Страна приключений;"Хаггард Г.Р.; Пер. с англ. Ф.Л. Мендельсона";НИГМА;2023;5;352;NF0025500  ;9785433507630;1500;10;Переплет;84 х 108 (1/16);1,26;;12+;"Генри Райдер Хаггард — английский писатель и автор множества историко-приключенческих романов, география которых весьма широка. Роман «Дочь Монтесумы» посвящён одному из самых драматических моментов в истории Мексики — борьбе её коренного населения, ацтеков, с испанскими конкистадорами во главе с Эрнаном Кортесом.
Молодой англичанин Томас Вингфилд, оставив дома возлюбленную, отправляется на поиски убийцы своей матери в Испанию, а затем в Америку. Судьба сурова с Томасом: его корабль терпит крушение, юноша попадает в руки индейцев и становится мужем Отоми, дочери императора ацтеков Монтесумы. На этом невероятные приключения англичанина не заканчиваются — ему предстоит сразиться с испанскими завоевателями, перенести пытки и править индейским племенем... Но, несмотря ни на что, Томас останется человеком, который держит слово и хранит свою честь и достоинство.
Реалистичные иллюстрации Сергея Ярового прекрасно передают атмосферу книги.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0025500,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1014-2;Дрессировщики новостей;;;Попали в переплет;Тараненко М.В.;НИГМА;2023;12;160;NF0025404  ;9785433510142;660;10;Переплет;70 х 100 (1/16);0,53;;6+;"Представьте, что вы живёте на острове, отделённом от остального мира. Там есть свои социальные сети и гаджеты, созданные благодаря науке и магии. Свежие новости островитяне буквально вылавливают из океана в виде фиолетовых яиц. Из них вылупляются зверьки, которых отдают на воспитание юным дрессировщикам.
Каждый мечтает получить заветное яйцо. Но как быть, если тебе не повезло с питомцем, да к тому же кто-то хочет сорвать соревнования дрессировщиков? Выход один: начать собственное расследование и узнать правду!";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0025404,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0275-8;Евгений Онегин;;;Нигма. Избранное;"Пушкин А.С.; Михайлова Н.И. (комментарии)";НИГМА;2024;6;400;NF0027331  ;9785433502758;2500;10;Переплет;70 х 100 (1/16);1;;12+;"«Евгений Онегин» – одно из самых значимых произведений гениального поэта, основоположника русского литературного языка. Ф. М. Достоевский называл этот роман «бессмертной и недосягаемой поэмой», а Пушкина – «великим народным писателем, как до него никогда и никто».
Известный литературный критик В. Г. Белинский дал «Евгению Онегину» еще одно определение – «энциклопедия русской жизни». Пушкин, сплетая воедино тонкий лиризм с реальной картиной быта города и деревни, с поразительной точностью описывает жизнь Российской империи 20-х годов XIX века во всех ее проявлениях и рисует правдивый образ своего молодого современника, отразивший черты целого поколения.
Лёгкие, изящные и при этом удивительно реалистичные акварели Анатолия Зиновьевича Иткина гармонично передают атмосферу той непростой эпохи. ";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0027331,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0694-7;Его прощальный поклон;;;Страна приключений;"Дойл А.К.; Пер. с англ.; ил. О.Н. Пахомова";НИГМА;2019;10;208;NF0014502  ;9785433506947;1000;10;Переплет;84 х 108 (1/16);0,78;;12+;"Имя Шерлока Холмса — литературного персонажа, придуманного Конан Дойлом, — известно даже тем, кто ничего не читал о его приключениях. У этого великого сыщика нет собственной конторы, но к нему лично приходят на приём особы королевской крови и даже сам премьер-министр Англии!
Каким образом в карман молодого человека, найденного мёртвым на железной дороге, попали чертежи сверхсекретной подводной лодки? Кто был отправителем страшной посылки — пары человеческих ушей в картонной коробке? И из-за чего гениальный сыщик оказался смертельно больным? Шерлоку Холмсу и его преданному другу и незаменимому помощнику предстоит раскрыть целый ряд новых преступлений, и при этом не допустить, чтобы военные секреты Великобритании попали в руки врага.
Книга проиллюстрирована талантливым художником Олегом Пахомовым.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0014502,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1107-1;Едем в новый дом;;1;вне серии;Тараненко М.В.;НИГМА;2024;21;28;NF0027920  ;9785433511071;500;10;;60 х 90 (1/8);0,39;;0+;Весёлая семейка собирается переехать в новый дом! Кругом переполох и суета, все бегают туда-сюда и собирают вещи. Но что это? В коробку с игрушками забрался хомяк! Откуда он взялся? И вот он уже на полке в кладовке, у мамы на подушке, у сестры в рюкзаке, на буфете, в кастрюле — везде поспевает пушистый толстяк! И вдруг унесли его… Как же так?;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0027920,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0856-9;Единорог Маргариты;;4;вне серии;"Смит Б.М.; Пер. с англ. Д. Налепиной";НИГМА;2024;18;40;NF0027943  ;9785433508569;550;10;Переплет;60 х 90 (1/8);0,43;;0+;"Может ли переезд в маленький домик среди гор стать настоящим приключением? Конечно! Маргарита это знает наверняка, ведь ей повезло встретить среди холмов… маленького единорога! Бабушка говорит, что единороги улетают из этих мест с последним летним ветром, чтобы вернуться снова с приходом весны. А значит, пока не пришла весна, нужно позаботиться о потерявшемся малыше!
Вместе друзья будут бегать по берегу моря, смотреть на звёзды, греться у камина после долгих прогулок, лепить снежного единорога и даже печь печенье! Единорожек вырастет большим и сильным, а Маргарита сможет найти новых друзей и с нежностью вспоминать своего необыкновенного друга.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0027943,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0509-4;Единорог. Английские и ирландские стихи и сказки;;;вне серии;Пер. с англ. Г.М. Кружкова;НИГМА;2018;6;384;NF0010118 ;9785433505094;1250;10;Переплет;84 х 108 (1/16);1,19;Сборник;12+;"На гербе Великобритании изображены Лев и Единорог. Если Лев — символ власти и мощи, то сказочный зверь Единорог, конечно же, символ воображения и фантазии. Самые увлекательные и причудливые произведения для детей, созданные на Британских островах, осенены знаком Единорога. Многие из них собраны в этой книге.
Робин-весельчак, мудрый кот Джеффри, мистер Йонги-Бонги-Бой, добрый Крендель Брендель Йок. Вам знакомы эти персонажи? Тогда скорее берите книгу и вместе со своими детьми совершите увлекательное путешествие в мир английской и ирландской литературы.
В книгу переводов Григория Кружкова вошли стихи и сказки Редьярда Киплинга, Эдварда Лира, Льюиса Кэрролла, Роберта Льюиса Стивенсона и других поэтов и писателей, а также произведения фольклора.
Отличный перевод и замечательные рисунки Сергея Любаева не оставят равнодушными читателей любого возраста.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0010118,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0884-2;Ель;;3;Художники рисуют Андерсена;"Андерсен Г.Х.; Пер. с дат. А. Ганзен";НИГМА;2023;17;48;NF0026383  ;9785433508842;600;10;Переплет;60 х 90 (1/6);0,535;;6+;"В лесу растёт маленькая пушистая ёлочка. Солнце согревает её ласковыми лучами, птицы поют чудесные песни, а деревенские ребятишки любуются ей и с удовольствием отдыхают рядом. Но ёлочка ничего этого не замечает: она хочет поскорее вырасти, чтобы стать мачтой на корабле и отправиться в плавание… а может быть, даже стать чудесным украшением дома на Рождество?
Сказка о ходе времени и о том, как важно ценить настоящий момент, проиллюстрирована рисунками Ольги Базелян.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0026383,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0048-8;Жизнь и удивительные приключения морехода Робинзона Крузо;;;Страна приключений;"Дефо Д.; Пер. с англ.; Чуковский К.И. (пересказ)";НИГМА;2024;7;256;NF0027820  ;9785433500488;1300;10;Переплет;84 х 108 (1/16);0,9;;12+;"Хватит ли человеку мужества после кораблекрушения вновь отправиться в морское путешествие? А сможет ли он прожить на необитаемом острове двадцать восемь лет, два месяца и девятнадцать дней?
Приключенческая литература всегда привлекала художника Игоря Ильинского. Он иллюстрировал Майн Рида и Анатолия Рыбакова, Фенимора Купера и братьев Стругацких. А уж история Робинзона Крузо вряд ли могла оставить равнодушным художника — знатока исторических эпох, эрудита, мастера достоверных деталей. И герой Дефо шьёт себе костюм из козьих шкур, мастерит зонтик, вскапывает огород без лопаты, строит лодку с помощью одного топора… и дикий остров его трудами превращается в цветущий сад.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0027820,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0928-3;Жизнь Тургенева. Жуковский. Чехов;;;Красный каптал;"Зайцев Б.К.; Эрлихман В.В. (предисловие); Прокопов Т.Ф. (комментарии)";НИГМА;2022;6;675;NF0021929  ;9785433509283;850;10;Переплет;70 х 90 (1/16);1,17;;12+;"Борис Константинович Зайцев — талантливый прозаик и публицист, переводчик, яркий представитель Серебряного века и один из крупнейших писателей русской эмиграции. Одной из важных тем эмигрантского творчества мастера лирической прозы стала русская литература. 
О том, кто из русских классиков был любим Зайцевым и близок ему по духу, вы узнаете, прочитав романы, посвящённые Тургеневу, Жуковскому и Чехову. Фоном для описания их жизненного и творческого пути служит тщательно воссозданная картина русской культурной и общественно-политической жизни того времени, какой её видел и понимал Зайцев. В его произведениях личный взгляд на жизнь трёх выдающихся литераторов соединяется с тонкими и очень глубокими размышлениями о русской культуре. Творчество Зайцева неизменно привлекает читателя проникновенными образами и светлой, неомрачённой верой в человека.
        ";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0021929,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0877-4;Жила-была семья;;;вне серии;Яснов М.Д.;НИГМА;2021;12;64;NF0020564  ;9785433508774;650;10;Переплет;60 х 90 (1/6);0,62;Сборник;6+;"Перед вами замечательный сборник Михаила Яснова, в котором маленький читатель найдёт стихи про уютный мир каждого из членов семьи. Как автобус смог угодить бабушке и почему дождик похож на дедушку? Что нарисовать маме на праздник и как приготовить обед вместе с папой? А ещё в книгу вошли стихи о зверятах — о заботливых мамах тигрёнка и котёнка, о весёлых поросятах и утятах во дворе, о черепахе-внучке, которая подружилась со щенком…
Трогательные стихи Михаила Яснова порадуют как самых юных, так и взрослых читателей, а красочные рисунки Екатерины Жирковой прекрасно дополняют сборник.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0020564,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1151-4;Жили-были прищепки;;2;вне серии;Аверина М.Ж.;НИГМА;2025;18;32;NF0029515  ;9785433511514;550;10;Переплет;60 х 90 (1/8);0,43;;0+;Разноцветным прищепкам досталась непростая работа. Шутка ли — в снежную бурю крепко держать бельё на верёвке? А что будет, если в самый ответственный момент прищепку пощекочет гусеница? И как это — играть с маленьким человеком в радугу? Все любят приключения! И бельевые прищепки — не исключение!;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0029515,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0989-4;Жили-плыли пираты. Диктант с продолжением;;;Всякое такое;Киселев А.К.;НИГМА;2022;18;160;NF0022168  ;9785433509894;450;10;Обложка;60 х 90 (1/16);0,315;;12+;Когда ты пират, приключения сами тебя находят! Впереди неоткрытые острова, моря происшествий и океаны опасностей. Надо быть всегда собранным и ко всему готовым. Но сначала главное – не забыть сделать уроки и выучить правила противопожарной безопасности. Ведь все пираты ходят в школу и пишут диктанты.;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0022168,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0576-6;За двумя зайцами. 33 пары английских и русских пословиц;;;Весёлый Альбион;Пер. с англ. Г.М. Кружкова;НИГМА;2017;14;48;NF0005655 ;9785433505766;500;10;Переплет;60 х 90 (1/6);0,53;Сборник;0+;"Знаменитый литературный герой Мигеля Сервантеса Дон Кихот хоть и уставал от того, что его верный оруженосец Санчо Панса вечно сыпал пословицами, но и сам был не прочь щегольнуть острым присловьем.
В этой книге собраны тридцать три пары английских и русских пословиц. Ведь почти на каждую иностранную пословицу можно найти русскую, выражающую тот же смысл. При этом пословицы и поговорки нередко отражают своеобразие той страны, в которой они родились, её особенности и обычаи.
Известный поэт и переводчик Григорий Кружков создал этот замечательный сборник, а талантливый художник Сергей Любаев проиллюстрировал его, как всегда, изобретательно и остроумно.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0005655,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0801-9;Завещание чудака;;;Страна приключений;"Верн Ж.; Пер. с фр. В.А. Барбашевой";НИГМА;2020;8;288;NF0016998  ;9785433508019;900;10;Переплет;84 х 108 (1/16);0,96;;12+;"Роман мастера приключенческой прозы Жюля Верна «Завещание чудака» мало известен российскому читателю, однако едва ли уступит по увлекательности самым известным творениям автора. Действие происходит в США конца XIX века.
Эксцентричный миллионер Уильям Гиппербон завещал всё своё состояние одному из горожан, избранных жребием, — при условии, что претенденты отправятся в путешествие через всю страну, чтобы сыграть в необычную карточную игру. Офицер флота Годж Уррикан, художник Макс Реаль, журналист Гарри Кембэл, скупщик векселей Герман Титбюри, боксёр Том Крабб, юная барышня Лисси Вэг и таинственный игрок под инициалами X. K. Z. пускаются в погоню за неслыханным богатством. Героев ждут взлёты и падения, надежды и разочарования, удивительные знакомства и романтические отношения, трудности и по-настоящему серьёзные опасности, когда приходится рисковать состоянием, а то и жизнью, — и всё это на фоне живой многообразной Америки, от самых диких её уголков до индустриальных городов.
Книга проиллюстрирована работами художника Олега Пахомова.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0016998,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0762-3;Загадочный гость;;;Весёлый Альбион;"Кэрролл Л.; Пер. с англ. М.Я. Бородицкой, Г.М. Кружкова";НИГМА;2020;12;64;NF0016839  ;9785433507623;650;10;Переплет;60 х 90 (1/6);0,61;Сборник;6+;"В эту книгу вошли стихи, которые Льюис Кэрролл писал в юности, чтобы позабавить своих младших братьев и сестёр. Дружат ли Селёдки с Барсуками? Что будет, если выстрелить в Луну? Как можно потерять любовь из-за булочки с повидлом? Победит ли храбрый король того, что чавкает в пещере? Парадоксальный, лукавый автор знаменитых сказок об Алисе узнаётся в каждом из своих ранних стихотворений.
Книгу проиллюстрировал замечательный художник Евгений Антоненков с обычной своей дерзкой изобретательностью и тонким чувством юмора.";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0016839,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-1035-7;Замурчательное Рождество;;7;вне серии;"Деланж Э.; Пер. с англ. Д. Налепиной";НИГМА;2022;21;24;NF0023512  ;9785433510357;450;10;Переплет;60 х 100 (1/8) ;0,38;;0+;В канун Рождества маленький котёнок остался на опустевших улицах города в одиночестве. Он совсем замёрз и очень голоден. Ах, как бы ему хотелось сейчас пойти к себе домой! И, знаете, — он не единственный, у кого в этот вечер есть заветное желание.     Трогательная история о рождественских чудесах и сюрпризах.;http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0023512,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0424-0;Занимательные задачки. Тетрадь 4;;;Занимательные уроки;"Дхиман С.; Пер. с нидер.";НИГМА;2016;30;32;NF0001164;9785433504240;100;10;Обложка;60 х 90 (1/8);0,135;Сборник;0+;"Предлагаем вам совершить необычное путешествие по чудесной и занимательной стране лабиринтов, раскрасок и головоломок. Оно непременно заинтересует вашего маленького непоседу. 
Весёлые упражнения и задания различного уровня сложности помогут детям подготовить руку к письму, развить внимание и мышление, научат основам счёта, а забавные иллюстрации превратят занятия в увлекательную игру. Благодаря тетрадям «Занимательные задачки» ребёнок научится логически рассуждать, сравнивать и решать творческие задачи.
Желаем вам интересно провести время с вашими малышами!";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0001164,,1,cover_asis,00000000,)&hide_Cookie=yes
978-5-4335-0425-7;Занимательные задачки. Тетрадь 5;;;Занимательные уроки;"Дхиман С.; Пер. с нидер.";НИГМА;2016;30;32;NF0001165;9785433504257;100;10;Обложка;60 х 90 (1/8);0,135;Сборник;0+;"Предлагаем вам совершить необычное путешествие по чудесной и занимательной стране лабиринтов, раскрасок и головоломок. Оно непременно заинтересует вашего маленького непоседу. 
Весёлые упражнения и задания различного уровня сложности помогут детям подготовить руку к письму, развить внимание и мышление, научат основам счёта, а забавные иллюстрации превратят занятия в увлекательную игру. Благодаря тетрадям «Занимательные задачки» ребёнок научится логически рассуждать, сравнивать и решать творческие задачи.
Желаем вам интересно провести время с вашими малышами!";http://nigmabook.ru/cgi-bin/unishell?usr_data=gd-image(lots,NF0001165,,1,cover_asis,00000000,)&hide_Cookie=yes
